Accession ID,Accession name,Tiller number,Tiller angle (°),Plant height (cm),Flag leaf length (cm),Flag leaf width (cm),Flag leaf length / width,Flag leaf angle,Panicle number,Panicle type,Panicle length (cm),Pericarp color,Hull color
CH001,Guanglixian,13.5,21.3333333333333,104.333333333333,30.1,1.26,23.9038461538462,1.0,12.5,3.0,21.5,0.0,0.0
CH002,Huakeqiu,10.5,21.6666666666667,113.5,23.3,1.34,17.5027472527473,1.0,9.0,3.0,20.925,1.0,1.0
CH003,Changlixian,10.8333333333333,10.0,104.25,26.3,1.34,19.6263736263736,1.0,9.0,3.0,23.025,0.0,0.0
CH004,Yanjing,16.5,21.8333333333333,92.25,23.1,1.18,19.6136363636364,1.0,12.3333333333333,2.0,19.975,0.0,0.0
CH005,Yingtoujing,13.6666666666667,28.6666666666667,92.5,27.4,1.08,25.3909090909091,1.0,11.8333333333333,3.0,20.625,0.0,0.0
CH006,Shengmengwan,11.6666666666667,20.5,100.75,25.3,1.32,19.1978021978022,1.0,9.16666666666667,2.0,22.4,1.0,0.0
CH007,Niantianshi,15.0,22.3333333333333,127.0,29.7,1.06,28.0181818181818,3.0,10.5,4.0,22.3,1.0,0.0
CH008,Langxiang,18.0,27.5,113.0,32.3,1.3,24.7948717948718,1.0,14.3333333333333,2.0,21.25,1.0,0.0
CH009,Wanjin,11.5,21.0,103.0,24.6,1.18,20.8863636363636,3.0,11.8333333333333,1.0,21.3,1.0,0.0
CH010,Hongxian,26.5,17.6666666666667,102.25,35.7,1.0,35.7464646464646,3.0,22.3333333333333,2.0,21.9,1.0,0.0
CH011,Bolizhan,18.1666666666667,26.8333333333333,93.5,25.7,0.92,28.0,1.0,17.1666666666667,2.0,19.625,1.0,0.0
CH012,Shimaren,24.1666666666667,26.0,94.0,27.2,1.08,25.2090909090909,1.0,14.8333333333333,1.0,21.325,0.0,0.0
CH013,Qingshuichi,18.3333333333333,20.8333333333333,98.25,27.9,1.08,25.8939393939394,3.0,15.1666666666667,2.0,21.175,0.0,0.0
CH014,Aiguxianzhong,14.6666666666667,19.8333333333333,107.0,30.7,1.12,27.6606060606061,3.0,12.3333333333333,2.0,22.975,1.0,0.0
CH015,Baikeai,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
